gtest 1.11.0-3
gtk-chtheme 0.3.1-10
gtk-doc 1.33.2-1
gtk-sharp-3 2.99.3-3
gtk-theme-elementary 6.1.1-2
gtk-update-icon-cache 1:4.6.2-2
gtk2 2.24.33-2
gtk3 1:3.24.33-2
gtkmm 1:2.24.5-4
gtkmm3 3.24.5-2
gts 0.7.6.121130-2
guile 2.2.7-2
gumbo-parser 0.10.1-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gvfs 1.50.0+r5+g747c7f6e-1
gzip 1.12-1
harfbuzz 4.2.0-3
harfbuzz-icu 4.2.0-3
haskell-adjunctions 4.4-304
haskell-aeson 1.5.6.0-97
haskell-aeson-pretty 0.8.9-48
haskell-algebraic-graphs 0.6-23
haskell-annotated-wl-pprint 0.7.0-25
haskell-ansi-terminal 0.11.1-19
haskell-ansi-wl-pprint 0.6.9-296
haskell-appar 0.1.8-13
haskell-apply-refact 0.9.3.0-95
haskell-asn1-encoding 0.9.6-166
haskell-asn1-parse 0.9.5-166
haskell-asn1-types 0.3.4-145
haskell-assoc 1.0.2-134
haskell-async 2.2.4-44
haskell-attoparsec 0.14.4-13
haskell-attoparsec-iso8601 1.0.2.1-18
haskell-auto-update 0.1.6-236
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-12
haskell-base-orphans 0.8.6-29
haskell-base16-bytestring 1.0.2.0-19
haskell-base64-bytestring 1.2.1.0-40
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.11-59
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-163
haskell-blaze-markup 0.8.2.8-69
haskell-blaze-textual 0.2.2.1-35
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-bytestring-encoding 0.1.2.0-9
haskell-cabal-doctest 1.0.9-1
haskell-call-stack 0.4.0-63
haskell-casa-client 0.0.1-436
haskell-casa-types 0.0.2-231
haskell-case-insensitive 1.2.1.0-142
haskell-cereal 0.5.8.2-2
haskell-charset 0.3.9-34
haskell-citeproc 0.6.0.1-36
haskell-clock 0.8.3-15
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-88
haskell-commonmark 0.2.1.1-20
haskell-commonmark-extensions 0.2.3-5
haskell-commonmark-pandoc 0.2.1.2-32
haskell-comonad 5.0.8-138
haskell-conduit 1.3.4.2-44
haskell-conduit-extra 1.3.5-222
haskell-conduit-parse 0.2.1.0-216
haskell-connection 0.3.1-190
haskell-constraints 0.13.3-8
haskell-constraints-extras 0.3.2.1-28
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cpphs 1.20.9.1-12
haskell-cryptohash-md5 0.11.101.0-37
haskell-cryptohash-sha1 0.11.101.0-22
haskell-cryptohash-sha256 0.11.102.1-30
haskell-cryptonite 0.30-9
haskell-cryptonite-conduit 0.2.2-477
haskell-data-default 0.7.1.1-217
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-230
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-41
haskell-dependent-map 0.4.0.0-98
haskell-dependent-sum 0.7.1.0-98
haskell-dependent-sum-template 0.1.1.1-13
haskell-diff 0.4.1-14
haskell-digest 0.0.1.3-2
haskell-direct-sqlite 2.3.26-77
haskell-distributive 0.6.2.1-141
haskell-dlist 1.0-152
haskell-doclayout 0.3.1.1-8
haskell-doctemplates 0.10.0.1-49
haskell-easy-file 0.2.2-19
haskell-echo 0.1.4-4
haskell-ed25519 0.0.5.0-24
haskell-edit-distance 0.2.2.1-146
haskell-either 5.0.1.1-218
haskell-emojis 0.1.2-13
haskell-enclosed-exceptions 1.0.3-192
haskell-entropy 0.4.1.7-2
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-extra 1.7.10-45
haskell-fast-logger 3.1.1-7
haskell-file-embed 0.0.15.0-1
haskell-filelock 0.1.1.5-131
haskell-filemanip 0.3.6.3-35
haskell-filepattern 0.1.2-190
haskell-filtrable 0.1.6.0-122
haskell-fingertree 0.1.5.0-8
haskell-floskell 0.10.5-195
haskell-foldl 1.4.12-58
haskell-fourmolu 0.3.0.0-151
haskell-free 5.1.7-73
haskell-fsnotify 0.3.0.1-274
haskell-fuzzy 0.1.0.1-45
haskell-generic-deriving 1.14.1-37
haskell-ghc-api-compat 8.6.1-6
haskell-ghc-bignum-orphans 0.1.1-1
haskell-ghc-check 0.5.0.6-38
haskell-ghc-exactprint 0.6.4-86
haskell-ghc-lib-parser 8.10.5.20210606-2
haskell-ghc-lib-parser-ex 9.0.0.4-59
haskell-ghc-paths 0.1.0.12-12
haskell-ghc-trace-events 0.1.2.5-1
haskell-ghcide 1.4.1.0-142
haskell-githash 0.1.6.2-87
haskell-gitrev 1.3.1-30
haskell-glob 0.10.2-29
haskell-hackage-security 0.6.0.1-282
haskell-hashable 1.4.0.0-35
haskell-hashtables 1.2.4.2-31
haskell-heaps 0.4-4
haskell-heapsize 0.3.0.1-109
haskell-hi-file-parser 0.1.2.0-73
haskell-hie-bios 0.7.6-77
haskell-hie-compat 0.2.0.0-3
haskell-hiedb 0.4.1.0-53
haskell-hinotify 0.4.1-110
